origin,destination,distance_km,num_stops,traffic_level,hour_day,delivery_time_minutes
D,B,19.117444337287285,5,3,15,77.13076929277985
E,D,22.96828282985249,1,4,7,99.10629502395311
C,E,25.389801494964942,6,4,23,112.79070885758479
E,D,23.09257980940005,5,4,21,103.24514234950351
E,D,11.266143352256037,2,1,17,50.88647000672427
B,E,29.90506563067426,2,3,4,97.72260622719506
C,D,13.600578117859827,5,3,19,87.452754853858
C,E,1.709476380009069,3,4,11,41.003312872235455
C,E,11.515891595978399,1,2,5,44.43736081793272
E,E,4.7057056826414545,5,4,1,56.42704419294613
D,B,4.521835856122875,1,3,3,37.830106230344086
C,C,9.164516163099936,7,1,15,59.08235508890755
E,B,2.5478893311405644,7,1,23,38.94578773569594
B,E,20.966853463877328,6,4,13,96.20667007633317
D,C,3.1456776418552472,7,1,16,43.62835539012147
B,C,6.895397107642729,7,1,18,60.46658873720414
D,E,3.694091720329462,5,2,3,37.68809848796736
E,C,2.831864196187901,2,1,17,37.02690805109195
A,C,8.764798300646708,6,2,11,60.529212991891214
D,B,17.585070062150727,7,4,1,97.11973293541831
B,C,28.97588113695841,3,3,5,98.72451165958428
E,E,26.391142976138582,1,3,5,93.3456556226477
D,A,26.402083837914418,3,2,2,93.09181453893359
A,A,6.105944045092071,7,3,7,70.35350330954299
A,A,8.682308611436783,2,4,11,52.159931354109354
C,E,3.2154061870638655,7,3,2,54.27398469158647
C,A,23.575581857540367,4,1,1,79.50369864423497
B,B,3.0246727430812967,4,4,20,54.19724372805857
D,E,17.144174453804744,1,4,22,69.70385101039726
D,E,8.18839159739457,6,3,0,59.26733037886574
C,E,8.059923386833598,2,3,17,62.91505604208323
D,C,29.73102660218055,7,2,17,124.62038100559005
D,C,22.946614402377584,1,1,7,79.72582633029414
A,C,25.271241390440455,6,3,21,107.20426629435936
C,D,17.587497874976368,1,3,13,65.79305853580576
E,B,26.259414334418725,1,2,12,78.72954554247873
C,E,19.719225635824234,3,3,14,79.15351530862542
E,E,28.439037439094015,5,1,14,93.58801027873838
A,C,9.158818995323466,2,1,12,36.82589420069795
B,E,18.264266827703956,3,4,3,83.97901146863886
D,E,21.01380909016987,6,4,3,105.68786292400067
A,A,12.395181845806393,5,1,4,53.724407266683116
D,E,26.511531489717544,1,2,2,81.52745291230607
B,D,29.414291730020476,4,4,11,111.96129607237535
B,C,15.319315249807186,7,1,19,85.11950625704043
A,B,12.328578989325834,3,1,11,44.256022344382124
B,B,14.6861999281373,2,4,19,77.92951178896836
E,A,25.729365626226016,2,1,6,73.24736439135914
B,B,19.71858434002686,5,1,6,70.98154722807183
D,B,2.298398803024757,3,1,0,21.764683625825636
D,C,16.72292740292573,1,1,11,56.81996634579199
D,C,1.5017035594881247,5,4,2,48.79706032951821
D,D,23.57752575909876,6,2,14,95.13880201854633
E,A,10.521055932731448,2,1,8,54.34329784391407
C,B,14.688216981402551,6,3,21,79.87133609705663
A,D,24.161665071321327,3,2,21,85.83689101249435
D,A,2.347015701287085,4,3,19,50.44846585767831
B,B,5.597704532156703,6,3,8,64.08227626356452
D,B,12.54085091690833,7,1,13,61.418746443076564
B,C,7.667829742821257,1,4,2,45.366305658928965
B,E,10.79914134747683,7,3,7,82.15628312639492
D,A,29.947067398881487,2,3,5,101.90182533975447
E,B,24.93701868964051,7,3,11,108.23227147896718
B,A,26.63315263384315,3,1,1,83.48767318700482
B,D,28.174584373407484,4,1,2,89.70143067782845
D,D,10.887140529111674,2,4,13,60.415231746644814
B,E,9.615231776097708,4,1,16,44.54478117914275
B,B,7.7878122845901725,2,2,2,40.5309202354514
D,C,25.073390427935557,5,4,3,100.94365974105828
D,B,20.707004006270363,7,1,14,86.77677350458559
A,A,7.848987492003442,5,1,21,47.86318943839732
E,D,11.932821047103191,5,3,6,69.69064519584923
E,A,15.69464115405115,3,1,18,68.64644160907578
B,E,16.316061660938857,5,3,13,81.53610909862027
E,D,26.773104127999726,3,1,15,81.11388367113177
B,C,12.036417855469272,1,1,12,39.82342644305359
A,D,27.347196884514858,5,1,22,93.78780480780505
D,B,13.7996592492739,3,1,19,67.608347190308
D,B,22.644807568978262,2,1,16,64.550539410872
D,D,27.977375279566626,3,4,16,102.76904904513466
E,E,27.319695414934724,6,1,23,103.54099096322835
A,B,2.651633151574754,3,1,9,27.337384507402
E,B,6.965424554320525,7,3,6,65.85683330086381
E,C,14.830257340435978,6,2,19,82.97466186200853
A,D,13.515074408640112,2,2,16,54.55179383253858
A,B,19.585858280279005,7,4,21,105.20599291227558
A,E,28.396562473936953,3,1,11,89.87102679807889
A,A,4.259736627060516,7,2,10,54.95294169793434
D,D,14.103901288892972,2,3,9,69.78270567987202
C,C,6.57992009872704,7,3,22,61.36927147928888
C,B,26.929120353540476,6,4,21,117.68332763039436
A,E,28.972825388247934,4,3,21,105.11377208977284
C,D,14.882348774820153,5,2,7,80.99791108016439
C,E,4.016298634116081,6,2,14,49.59215923502326
A,E,23.773545334957525,1,2,21,78.03887402025599
C,C,21.21709916427957,3,1,17,78.30601321435917
E,D,11.285453971699003,7,3,22,73.18949259809894
B,B,26.73481674509994,2,3,12,93.68253931491432
B,C,29.299124803698508,5,1,15,98.5161313903581
A,B,17.177761624775666,7,2,12,83.18250210211377
D,A,17.40610942898448,3,3,3,74.40048580526897
A,E,9.627891648299556,5,2,10,54.49002475859618
D,A,17.95067504351611,4,1,18,78.29637096742269
B,E,13.749627295220549,3,2,7,64.8309640540308
A,C,9.763539780913504,7,4,9,84.9753240915618
E,B,2.948370699193138,2,1,11,16.7908909396854
C,B,8.328527931564622,4,2,20,49.17080991598963
D,C,6.737784840652268,3,1,19,46.264795488555016
C,D,16.71921755206452,5,3,10,77.05065824401541
C,A,18.448430631144223,7,4,19,115.47685600434708
A,A,18.64858000487448,4,1,20,67.88521556304566
C,B,12.257249030324694,2,2,3,51.50278140805059
E,B,13.215662276879383,3,3,18,73.12325619766206
C,B,25.19291445957856,5,2,19,105.7392420867345
A,C,14.81075159199771,7,2,9,88.00011939253989
E,D,29.645426631976548,5,1,14,99.1168134305207
B,A,13.748899670257082,6,1,12,64.38215924630751
C,E,19.837847393917333,4,2,12,80.01509233085372
A,C,2.4605269708084783,7,1,20,38.59723888846464
B,A,19.946857808145513,3,2,17,81.87066097065012
B,D,25.691365438035177,6,1,6,89.6496207260527
D,C,28.33127731746559,5,4,13,119.14351040282457
E,A,29.922297737553343,4,1,4,99.59918444561006
C,C,9.18318072382776,1,2,8,50.92535081113262
A,A,17.685731879945788,7,3,21,88.90617128224842
D,A,14.070821580432273,5,1,16,57.17781391811718
E,D,17.35070693667996,4,4,4,82.52986250121144
D,E,5.566135758505553,1,4,15,41.63527628240575
E,D,25.828337605282304,7,4,8,123.17618901296392
E,A,27.37749935699304,4,4,16,104.03477945333674
C,C,14.040188230274754,5,2,17,73.90953275647509
E,D,9.13246598563373,1,4,2,52.803344526715854
D,E,5.084169401937357,7,3,4,55.09434855923435
E,A,20.829179918556328,4,1,21,75.00118075853862
C,D,10.054723349001321,3,4,20,59.94340881228156
C,D,27.376618527488272,1,1,16,80.21046004504909
D,D,20.459361770501232,4,2,19,92.15587796216013
B,D,19.72487443005298,3,1,21,66.61637382145858
B,C,17.222661361048985,1,2,3,59.44801367825011
E,E,2.3275138434330427,4,2,3,33.48777628345247
A,E,28.025750634882023,5,1,20,94.21833513530585
E,A,19.21018730568434,1,4,23,78.96571662058443
D,B,29.827797518110202,1,3,20,95.30027253554951
D,C,16.583335738413723,7,1,6,75.19778890727987
D,A,21.59321586528018,3,3,7,89.73766436422792
D,A,2.630077178120443,6,1,21,37.39732675683555
D,D,19.320349127878917,7,3,21,92.46912802826091
C,B,23.17483873612036,6,1,1,86.5065508628272
B,B,23.57691455072416,4,3,9,100.42360379415707
D,C,23.33323791467828,5,3,4,95.96110544303065
A,B,7.562196191516362,3,1,16,30.88607263367993
A,A,29.28655585055155,1,1,6,85.26346066511866
A,B,29.86028149812322,6,2,1,110.53470942127036
A,B,3.1922803796864367,3,3,5,36.57884414560947
C,E,28.15694626154096,3,1,9,93.74767365647963
A,A,9.39402663482671,7,4,8,86.78426664650668
D,B,20.98923837077798,3,4,4,86.57011324605972
E,B,10.805216701347831,1,2,2,46.93130236411452
A,D,29.064875377820524,7,4,10,126.12114533154065
C,B,3.943611890802529,2,1,9,38.462996793067695
C,B,15.434657691734904,3,3,15,68.99755435170297
A,E,13.413385966320165,2,1,19,62.76693319928688
E,A,10.454680116061562,6,4,18,87.52501342604855
A,C,19.72048573552431,5,4,0,91.94827010219939
C,A,4.800616559228357,7,1,10,46.563171453523296
B,D,21.78321012587721,6,2,14,87.95606651531622
D,A,29.43717159033883,7,1,6,113.79926727477019
C,B,24.332202719590274,5,2,7,102.52791146985943
A,D,25.940485834376815,5,4,15,108.929845460498
D,A,11.429465552191074,7,3,17,87.74362146537824
A,D,10.421711587955341,6,3,23,64.79344299693817
A,C,15.994402286013862,4,1,22,65.95011903203438
B,A,2.326071828105908,1,2,10,18.739190917960617
D,B,28.415385899239446,2,4,0,99.28405306101443
D,D,5.169770017469574,4,3,15,46.424853005564856
B,E,27.18737813587468,2,1,3,78.13055284631794
C,D,3.4238844380103153,7,1,22,47.24553270359992
A,E,24.856122902678244,1,4,5,89.44819744764644
E,B,5.4069132504682385,7,4,10,55.853780632649304
A,C,2.1058168086527083,3,1,23,23.864387576006894
A,E,21.865194057522853,7,1,5,90.32350310436925
C,C,9.127693705058421,6,1,9,61.554937517475395
A,D,21.720388430746137,4,2,5,78.23329199958172
B,B,17.097472263711772,7,4,9,104.43375960927995
B,E,4.1554143166719015,1,1,21,18.94341938999922
D,D,28.03177212573375,6,4,22,115.15271455475727
E,A,14.117111068140849,4,1,4,54.10130246006787
A,D,22.298971056161953,7,1,8,100.21613488721704
A,C,15.529596588453128,5,1,6,67.53305687230178
C,B,18.52648277387494,7,4,16,99.70083844867864
B,B,9.78043417834408,4,1,11,41.26709187009506
E,D,6.810448816100058,3,1,10,36.87255605391809
D,A,16.73453589883397,3,4,5,80.15376178316606
B,C,13.766350216159058,2,1,23,52.59696579294094
D,D,12.31328318958406,4,3,10,61.93354470568446
C,D,20.504448657744067,7,3,10,97.09131372626629
C,B,21.024692328322942,5,1,13,80.26430357171886
A,C,2.331681626646628,7,2,15,44.24654297219774
E,A,10.823590333066493,3,4,1,64.71470538370612
D,B,12.941171956564943,2,1,1,46.28085091275864
B,D,3.809872673760875,7,4,4,58.98531723443555
C,B,7.841125134250363,5,2,13,49.31908611955427
A,B,2.4976121194599425,5,2,20,41.99189836747443
A,E,29.891020859893597,7,4,9,133.73829616254397
D,B,22.36015888612549,5,2,9,94.39639636280488
C,B,3.5360545385798563,1,2,17,37.873272940645066
E,C,1.5872320139126712,3,4,19,51.8763616817542
C,B,21.859346204416127,1,2,8,76.7135013787601
D,A,13.73657280479734,1,3,3,54.78317148972477
D,D,23.817104562872704,3,1,16,75.0924169724001
C,C,27.78080509673313,4,3,20,101.52701010309211
D,B,18.3797112814748,6,3,1,95.52418939410694
C,A,6.426144264600339,2,1,13,29.15762094747876
B,D,23.683627045347123,7,3,21,102.56531478085137
C,C,28.718540552056858,6,1,0,107.86171385254109
C,A,17.826707324738724,6,1,22,77.23153270642399
D,B,20.777925971141272,6,4,6,102.1192916096094
D,E,10.786766156063518,6,1,3,54.4676325072547
A,E,12.064303145149026,3,1,8,61.73520793593208
A,C,22.304980437738852,6,2,2,94.21127485904564
B,A,27.905361853797757,2,2,4,90.20467338000844
A,D,19.240663229506215,7,3,20,88.95274870514879
C,A,23.905589346075075,4,1,23,81.70421335775421
D,E,5.977415505045817,3,1,9,48.13333090511068
A,C,7.146813617481233,6,4,9,76.52818250292921
A,B,16.42900591816831,5,1,3,65.94311521417518
B,A,6.120071575042375,7,4,16,66.61480690833993
B,E,19.414857036406783,3,1,20,66.05938567057551
C,D,9.45794237644627,4,2,16,49.24601329978486
D,C,23.954445941339866,6,2,18,107.76238036526122
B,B,24.43520005181596,1,2,5,81.41620371817656
A,A,14.44983621690524,3,3,0,70.11295517899603
D,D,6.243508416091423,7,1,13,47.34576330925637
D,B,19.756473871376045,7,2,12,93.21887683209219
A,E,29.790823529644005,5,4,2,120.76048276206826
B,E,19.055136040333178,7,2,22,89.53785571366794
A,D,2.0374660307062276,3,1,1,24.38940072168597
D,E,1.501525297245395,1,2,21,16.96268410677512
E,C,10.29049714427688,3,1,6,42.50950830582086
E,D,6.677730398951741,5,1,11,45.19308120674333
C,E,24.578485007155937,4,2,1,85.825601486265
A,A,25.499364344044015,5,4,10,104.6260855439224
A,E,8.49994436800381,4,3,15,56.16845319430724
C,C,10.443698531546888,5,1,4,49.740648346889905
C,B,7.851162063738325,2,3,16,48.09958822044811
C,B,27.343093873766655,3,2,2,90.09508081564701
D,E,15.576830704046184,7,1,13,73.67521719470491
A,B,20.027974278378576,3,1,15,69.05415038989864
D,E,13.048980514288495,1,2,16,47.17616725202881
C,C,19.299411611631403,2,3,18,85.52958914011472
A,B,12.189805924930347,1,4,3,56.434480372205996
D,A,10.85067469414754,3,2,20,51.07087261841214
D,E,19.399922122030926,1,2,19,73.61474358481354
C,B,18.140800263420687,4,4,19,96.68147740406054
A,C,9.512310670870539,2,4,8,68.02624970056199
C,C,5.331105059264729,7,4,10,61.91750941097981
A,A,11.688724121305992,5,4,4,71.7606020673313
E,C,13.040731535115366,4,2,10,62.156616067743265
B,C,19.23184566931354,6,4,12,89.84667982824188
B,B,27.521334145469048,5,3,20,112.37008747287062
B,E,2.049359128454829,1,4,1,36.25917156322988
C,D,8.066169363713502,3,1,21,33.55041666857179
E,C,6.6177623261072505,4,1,1,32.23181841547287
A,C,15.566537852119724,2,4,9,81.0051973923015
D,D,13.461323404251635,5,2,12,62.292575922922744
A,C,22.142091090785463,6,2,4,94.23970759755889
D,B,8.03006146380105,4,3,10,55.257160145897686
A,B,18.240452606743,7,2,14,85.97126856586931
E,D,26.63186064439882,7,3,4,110.86888245592624
D,C,27.409654457630836,3,3,19,115.32415906344515
C,C,28.804753537025903,2,3,4,100.2722401447298
A,E,23.42457341031967,2,4,6,92.37093095286112
A,C,27.273649281508536,5,2,9,113.78429109765366
D,B,7.801395287572952,4,1,1,38.44690562845378
C,A,6.729847386163834,4,3,0,54.67883207252686
C,A,1.1881544296352673,2,1,19,28.176561185000256
E,A,21.498486365443853,7,3,22,100.75040500341699
C,A,28.186548446598586,1,2,0,85.99698208748066
C,C,6.421125006208616,2,4,3,42.419215696400784
C,C,19.471363687379487,3,3,14,81.55045400136547
B,E,22.64733301743155,4,3,14,85.14488257485651
E,C,27.900812819293638,7,1,5,100.85247024819637
A,A,19.758946496499426,5,4,5,92.0388923499642
D,D,29.138518249713815,4,2,0,94.9854489862567
A,D,10.995521089363885,7,3,6,70.1869348549986
E,B,11.147927479370821,2,2,4,48.60427897077915
D,B,16.74736279041602,3,4,21,76.82845340143344
E,C,12.121554552361307,1,1,16,39.511427759727816
C,D,1.0413461203384462,7,4,6,51.858345947880345
D,A,22.221388727522633,7,4,3,107.69201579008025
C,A,22.79979420287602,4,4,2,96.02374143160024
A,A,22.662263535916342,2,4,11,83.73276263673574
A,C,11.00559933170353,6,2,14,62.911242320546044
D,C,16.146394726023985,2,2,19,68.64025133430553
D,E,11.439232027123413,2,1,8,55.29117140363623
E,A,1.4650556008887272,3,3,20,32.488118798126
E,A,17.311019296871144,2,3,11,76.84212153437022
C,C,4.58905931643632,7,4,4,66.37335590065516
D,C,3.3211983986517772,2,4,7,49.91218847076794
A,E,22.90947299220683,2,2,14,79.01211898018882
E,E,1.2756798701250631,4,3,6,30.91980210917777
E,B,28.81124486465306,2,1,18,100.91525038236192
A,D,15.94240555926473,3,4,12,73.39514240668935
E,A,29.507476490478304,6,2,0,110.03789033732882
C,A,2.6819296017085446,4,4,10,44.521956465721324
D,E,17.922356917111482,7,4,12,94.94193716704862
A,E,11.130484043301424,6,2,1,63.282813838315285
D,B,25.46099229161429,2,3,18,101.88297905405557
E,D,11.475459321794302,1,3,10,50.60790066211788
E,B,8.554139792663124,6,4,0,69.37939560924373
A,D,25.869040685897485,3,3,0,89.79555359229937
C,A,11.86493965794457,1,2,7,62.65849795765375
B,B,1.4881662759562826,3,3,12,34.41635667709474
A,E,12.31838392434068,7,4,7,94.1086618477631
B,B,19.981145801317314,1,4,1,76.9328911709081
B,B,8.376426625385074,2,2,7,48.31860247978982
C,A,13.527640180329561,1,4,13,62.272207643734426
B,E,2.64473901018454,7,3,1,53.479678257384435
B,E,18.05469095390476,6,2,12,85.0421540171261
C,C,22.93255279195142,1,4,4,91.56423503042295
B,C,12.986064280632197,3,2,0,60.89622791355114
B,C,13.186746351242341,2,2,8,57.66727910784597
B,A,3.5601924589625766,3,3,19,49.51922672497706
A,B,6.856285070847495,2,3,9,54.14816403698184
A,E,5.485583790709468,6,1,10,42.51310251953637
A,E,14.9689452911846,5,2,17,81.29088277772429
C,B,16.348410687571754,4,3,16,68.43561798664985
E,E,28.51926380724354,6,4,5,122.04079852105876
B,B,3.1237136240397834,7,1,10,36.18291834368008
B,A,18.396171221496367,6,1,23,71.27295948129891
C,A,16.268457292519,4,4,3,77.62713087842255
B,A,15.970759840139046,3,3,0,69.63429773904122
A,B,26.321619334101968,6,2,0,96.93587226971835
E,B,6.960615650169108,2,1,21,28.220362423228277
D,D,2.1824249558997724,1,4,17,48.90289751667807
B,E,20.495873721391582,6,4,4,98.90260324440268
A,E,11.009566459943423,4,4,15,68.82455708595275
D,D,1.5101075701632132,6,4,1,48.066540572658795
E,D,8.289846211422,3,1,8,48.563107454883315
D,A,9.970476452287544,3,2,1,48.51859131178476
A,D,18.88831292674302,3,3,4,74.83497090413839
D,B,6.004988027428891,2,4,19,58.85923875621865
C,C,12.978576090648543,7,4,16,78.7700643481526
D,B,14.991787888117143,7,2,18,90.79529595330125
B,D,14.317884349558637,6,2,9,80.59623272123716
B,E,29.24428223333667,3,3,7,112.33904740787123
C,B,2.319622895918587,5,1,19,46.35435464614682
A,E,28.57807740711958,1,2,10,88.74129395017297
B,B,17.876179205826965,7,1,12,77.73543044738408
E,E,24.07610373412531,3,1,12,74.84050124797717
B,B,13.481385922466186,7,4,8,99.68944902052824
B,E,14.161298556452433,2,1,4,45.38288038534803
A,C,26.500468471458884,1,4,17,108.13927188645067
D,A,26.982100392465163,1,4,7,100.66306914854381
B,B,7.9219775615076315,4,3,19,68.55856381320444
C,C,6.778014478953927,3,1,13,37.97683875603552
D,A,15.390820042228581,3,2,1,56.73921757600605
E,B,27.108033786703057,6,2,21,105.11808962482144
A,C,10.348297708779112,2,2,15,46.97025521519735
E,C,19.908423844834807,5,3,0,89.8802075261451
D,C,21.536398944477433,6,4,23,102.93671818624854
D,D,23.58156528193052,5,4,22,100.06696612645564
D,E,17.353809279707935,4,2,12,70.73282429686023
E,A,12.671200170090119,7,4,17,100.6719400345272
D,E,29.043463675170212,7,4,0,121.2852187600768
E,E,18.728591845782727,5,3,6,85.79005348951034
D,E,22.128391137364854,7,1,3,92.77473946527729
C,C,11.004502525180472,2,1,9,48.53899788636924
D,E,20.428526249089323,7,3,7,102.82095568137586
E,D,8.47613220275965,4,3,2,51.39202350594576
B,B,8.10781060833045,3,4,22,57.45444060555533
D,C,21.726943852473365,5,3,6,88.49354831220833
B,A,16.120447351625117,2,4,15,71.89503825716656
C,B,20.815021702249304,2,1,19,82.15136844453292
A,B,8.81371623169466,3,3,9,61.880366206010756
C,B,18.362976890645182,7,4,12,95.57400386213055
D,E,13.874075841390264,2,1,0,49.061418621615815
B,E,18.311848318520312,4,1,6,67.5736022340958
B,C,9.435512235082362,4,2,9,62.946753504115634
E,E,21.74807794582459,6,1,11,89.22762852601804
B,E,24.3719516186245,1,3,13,84.12018562307217
E,E,8.537577741873985,3,3,21,57.44529188998268
A,C,9.71799623581362,7,4,10,77.66089629996668
D,C,20.173473821853698,2,3,16,74.1316906765101
E,D,21.17197005480278,5,1,8,95.79483411969277
A,D,21.41889084752605,6,4,7,111.17277306677948
B,D,20.798256638499268,4,1,9,80.83096490057515
B,D,12.391423791623625,3,2,3,61.949745469948866
A,B,12.450756557706672,7,4,4,80.92754073572524
B,B,8.389711085687061,3,2,23,42.65710941810996
A,D,5.548177296994527,7,4,17,76.2160317183531
E,D,21.084744002510263,4,3,5,87.20573924624227
E,A,3.702474793197072,1,1,9,32.04877117533934
A,B,28.195976316816665,3,4,17,110.5435659509771
E,A,24.97390280647209,2,3,10,91.21425847211474
E,A,25.867666458760425,5,3,23,101.00556233991217
E,E,27.293395623840517,5,3,4,104.9948057301209
C,C,12.849544150973962,4,2,2,65.26943581019886
D,B,25.55432097716163,3,3,17,106.52572692251108
B,D,5.583777708457831,5,4,3,59.30254831473988
C,D,1.6276120436388346,3,2,7,37.923349764638395
E,C,23.761850445251653,4,1,16,83.69555386477613
A,B,3.16910279191124,1,3,9,44.77678869864273
E,D,29.667215352451727,5,4,18,122.7428425319102
D,D,20.569096458445124,2,4,0,86.67659511832154
E,E,22.85004159702106,6,2,1,97.7662031841787
A,A,8.128311832058113,4,1,10,43.82396932384706
D,D,20.542096423670955,6,2,14,85.32315379106284
E,B,2.253378180393759,1,3,22,24.176628107283864
D,C,25.296945877784427,2,1,0,84.32790175520084
B,E,5.919098697915601,6,1,8,52.08279568492041
B,B,21.223383938179346,2,1,7,81.61138455861712
E,E,7.509934535749122,5,2,0,51.94637031280012
D,A,2.9851419133552395,3,4,9,59.600347201432555
A,D,14.963316677932434,4,2,16,64.45351120190149
E,B,5.909300097910894,2,4,17,53.950507473926564
B,C,22.153875661469943,5,2,15,87.39120169526268
B,A,7.889409458121061,1,4,1,43.2641807316014
E,A,10.931704130839037,7,4,21,87.36044192072038
D,E,17.455738286669714,2,1,16,59.527840388916914
B,A,9.264080049742036,1,4,3,53.494591472418456
D,B,11.961655370088888,4,3,6,66.24044927430039
B,E,24.653031360171212,5,3,8,107.55180935855805
B,A,6.197085637269746,1,4,2,43.0966226156232
C,C,3.383846094976077,3,4,19,56.790709131519506
B,B,10.52237576885756,6,4,20,80.13760481240226
A,C,13.306926243402467,1,4,4,57.796040212759166
E,C,16.737119181960463,1,1,17,61.65704628563676
E,E,11.800287189075204,5,3,20,66.41192465400997
D,D,23.90743930646135,5,1,16,83.74765828882146
B,E,2.140265142385725,2,3,6,26.97388349241166
A,B,13.521258607758181,6,4,13,73.68903295812068
D,B,12.085421525035734,1,3,14,46.73302041557564
C,E,19.779776233398913,1,3,20,74.74653038124175
D,D,29.022011305024485,5,2,21,104.53037155962355
D,E,15.800886792237003,7,2,13,82.00883372935472
B,B,29.619428561309896,3,4,8,118.30103061554965
C,D,9.765232452482726,7,1,15,58.118074150429536
D,B,1.8951758437313693,5,2,18,53.577412112205074
A,D,5.80423185681597,3,4,0,55.16874745901218
A,D,12.458621658462452,6,1,7,73.97247054393294
E,E,10.173683366468014,7,2,17,78.0414617780413
C,E,3.8145697985179527,5,3,1,49.0903327789426
C,E,13.547143123030787,6,2,3,70.97977270351315
E,D,10.80535737812732,4,4,20,66.51261306435595
D,D,4.5559573932657145,1,2,0,26.176784054843093
C,B,9.587396787745359,6,2,18,75.33559580526678
A,C,26.706645605306324,3,1,10,80.8797313665774
A,E,9.759417099190864,4,1,23,50.86061757972308
B,B,21.704707274019498,3,3,5,83.4354397648053
C,B,18.749365310074914,2,4,18,86.93125276109424
D,A,13.388253709842783,2,3,13,57.834119701517125
E,E,7.931743467306406,1,3,22,39.20613500699219
E,B,11.701426281032418,4,2,21,55.52654264626949
D,A,18.17110919066024,4,3,20,77.64591242058911
B,E,11.171843227731294,2,1,23,40.02852375520257
E,D,7.231996573652723,1,3,23,39.15612022971231
C,A,4.377419717857331,6,4,18,70.74922929846012
B,D,26.513241199377394,2,3,23,94.57468190398639
C,C,13.769076296805263,4,4,12,73.68783284605186
A,C,19.13104133054497,3,4,11,84.80566574624523
B,C,15.221900472967352,7,3,9,94.077345118564
E,C,26.304429032380938,4,3,18,113.38281489243123
B,B,16.861110720998113,1,3,10,64.29280282146286
B,C,14.942661120524287,4,4,23,75.4161874753598
B,B,27.813428722229666,5,1,23,92.77897284765241
B,B,21.87099828531528,4,2,11,83.30818450880085
C,E,4.234947313058862,5,3,6,52.40750375234907
A,B,6.153429374707607,2,2,7,44.69619955573982
D,B,23.826563025243814,6,3,16,99.46381660162493
B,C,25.239688314218675,5,4,2,106.33070875973199
E,B,16.810534043618595,4,4,5,80.34215157633902
B,D,17.07920160813254,6,2,11,76.6970624629956
E,C,19.32605592269189,7,1,14,77.98435606222897
C,A,13.734357454196545,6,4,22,81.6026687767057
E,C,20.725774581033214,4,2,6,80.5217679141132
D,B,4.145956469426055,4,4,5,47.11917870197099
A,D,28.877098028654206,7,3,11,115.55772582083195
E,C,22.754489890052728,1,2,11,70.04203874166718
E,D,19.3040519162612,2,2,3,64.10009588951439
A,A,10.17333965327494,5,3,20,60.56657282226955
D,A,5.667709136245145,3,2,8,47.57570355413499
B,E,12.870945951039394,5,3,16,66.15119145946396
E,E,20.185725476647697,4,1,1,72.05168628922473
A,C,19.377582559270216,3,3,4,76.3335560207943
C,E,12.096593496901573,3,1,20,45.454537565793046
A,D,18.785305421160764,5,2,22,80.0948900020213
C,E,24.59870057145888,7,3,23,105.5763746127055
D,D,1.762258397790605,5,2,9,44.99560439627356
B,E,14.068010389977996,5,1,5,65.06404640494564
A,E,22.99810162553694,5,4,5,98.73508716261644
E,E,16.83818964343794,7,4,20,98.79309775137195
D,B,19.892806549943028,7,4,4,100.6886429876996
A,B,15.98361538555492,2,4,7,78.5506345652714
E,E,29.764361795787018,1,4,20,100.7490594662815
A,D,2.5840245581821084,1,1,21,16.666386115322382
C,C,15.240299831398941,5,4,2,85.8642611580195
A,A,3.651079924321013,1,4,13,39.52417423649237
A,B,5.633781301293542,5,2,4,46.27617380274098
A,E,12.108112162129594,5,3,14,72.05014834979136
D,A,5.510662653514132,5,3,8,56.13354549018287
A,B,28.94692781274288,6,3,14,115.11564412203677
E,C,28.456903525029613,2,3,18,110.07207799245083
C,D,10.74717974039751,4,1,15,49.83437675373073
C,E,19.552683649092707,1,3,7,76.05125562476563
A,C,16.478846297219796,1,2,14,54.146378538014076
D,B,24.65202243495729,2,1,10,75.13063282092006
D,E,19.195922684691325,2,4,22,83.33418122661274
E,A,1.0073211802263011,5,2,3,40.26409643771874
A,D,23.132057182682427,5,2,20,87.8368372019558
C,B,22.658595517587425,6,4,23,100.71694841805527
D,D,15.78195846142795,6,4,9,99.90218046284524
A,E,27.18465022375856,4,2,22,103.80473559329904
D,C,27.344939965021645,1,1,9,91.68317181245766
D,D,16.193438624427518,2,4,1,70.23769838908672
C,A,18.631658704699593,4,3,7,99.1625646414006
B,B,29.8991400858155,1,2,7,102.80824907594548
E,A,9.665786809531108,4,2,8,59.791427383052685
E,D,10.413900027032843,4,4,1,71.83765656659524
C,C,6.3004431772413945,7,4,13,65.14113250890696
D,C,26.98014123557817,5,3,19,115.58708753295959
A,A,22.590163308528723,4,3,1,92.65527073834518
D,E,4.063642617237015,5,3,3,48.08439058942477
